,TMAX,TMIN,PRCP,SNWD,Day of Week,Day,Month,Year
2024-06-14,17.11998210763582,8.282763578686772,0.12246067926853431,0.8,Friday,14,6,2024
2024-06-15,17.365534409184296,8.834697991435108,0.12202203247133235,0.8,Saturday,15,6,2024
2024-06-16,17.498545393029996,9.131078226854315,0.14722056928205213,0.8,Sunday,16,6,2024
2024-06-17,17.570594898214974,9.286594458127983,0.1298752512489732,0.8,Monday,17,6,2024
2024-06-18,17.60962273672358,9.3695982871245,0.14687669834300252,0.8,Tuesday,18,6,2024
2024-06-19,17.630763370163645,9.413347016042735,0.13170741720367776,0.8,Wednesday,19,6,2024
2024-06-20,17.642214846835834,9.436620101662548,0.1455521039991669,0.8,Thursday,20,6,2024
2024-06-21,17.648417892659673,9.448916473094199,0.13298701633063098,0.8,Friday,21,6,2024
2024-06-22,17.651777963905857,9.455446068353972,0.14440651506335564,0.8,Saturday,22,6,2024
2024-06-23,17.653598050215084,9.458900553816036,0.1340316859267931,0.8,Sunday,23,6,2024
2024-06-24,17.65458395614693,9.460733159821133,0.14345820207992002,0.8,Monday,24,6,2024
2024-06-25,17.655118002527868,9.461703398038104,0.13489349476627488,0.8,Tuesday,25,6,2024
2024-06-26,17.655407285235057,9.462217837019956,0.1426752226719349,0.8,Wednesday,26,6,2024
2024-06-27,17.655563984142987,9.462490303366248,0.13560490359871225,0.8,Thursday,27,6,2024
2024-06-28,17.655648864943455,9.46263472863829,0.14202885311205438,0.8,Friday,28,6,2024
2024-06-29,17.65569484324913,9.462711237980837,0.1361921824056153,0.8,Saturday,29,6,2024
2024-06-30,17.655719748817656,9.462751786663574,0.1414952635554671,0.8,Sunday,30,6,2024
2024-07-01,17.655733239687635,9.46277326982517,0.13667699112466195,0.8,Monday,1,7,2024
2024-07-02,17.655740547433794,9.462784654574747,0.14105477614958334,0.8,Tuesday,2,7,2024
2024-07-03,17.655744505900074,9.462790686725718,0.1370772090870512,0.8,Wednesday,3,7,2024
2024-07-04,17.655746650125526,9.462793883245363,0.14069114619176598,0.8,Thursday,4,7,2024
2024-07-05,17.65574781161143,9.462795576962675,0.1374075959231506,0.8,Friday,5,7,2024
2024-07-06,17.65574844076612,9.462796474464147,0.14039096338477663,0.8,Saturday,6,7,2024
2024-07-07,17.655748781567183,9.462796950025746,0.1376803359592879,0.8,Sunday,7,7,2024
2024-07-08,17.655748966172595,9.462797202022573,0.14014315729602292,0.8,Monday,8,7,2024
2024-07-09,17.655749066169815,9.46279733555018,0.13790548756699947,0.8,Tuesday,9,7,2024
2024-07-10,17.655749120336402,9.462797406305018,0.1399385890922713,0.8,Wednesday,10,7,2024
2024-07-11,17.6557491496774,9.462797443796664,0.13809135410560214,0.8,Thursday,11,7,2024
2024-07-12,17.65574916557086,9.462797463663001,0.13976971450893633,0.8,Friday,12,7,2024
2024-07-13,17.655749174180045,9.462797474189829,0.1382447901415393,0.8,Saturday,13,7,2024
