,TMAX,TMIN,PRCP,SNWD,Day of Week,Day,Month,Year
2023-06-11,17.02735205934265,7.5527344329203,0.040055980520172084,0.4,Sunday,11,6,2023
2023-06-12,17.618863538383398,7.270365544618834,0.0404511745566027,0.4,Monday,12,6,2023
2023-06-13,17.918363599920333,7.22337081011795,0.03917237950020656,0.4,Tuesday,13,6,2023
2023-06-14,18.09223215635664,7.106822481177133,0.03849834281488648,0.4,Wednesday,14,6,2023
2023-06-15,18.1855236398262,7.107798666501692,0.03809867935527374,0.4,Thursday,15,6,2023
2023-06-16,18.23787387590895,7.055875530916435,0.037864216407959055,0.4,Friday,16,6,2023
2023-06-17,18.26650558888824,7.066038299083341,0.03772654196499772,0.4,Saturday,17,6,2023
2023-06-18,18.282396091229852,7.041083344385923,0.037645707261604586,0.4,Sunday,18,6,2023
2023-06-19,18.29114168027757,7.050271063282775,0.03759824533485681,0.4,Monday,19,6,2023
2023-06-20,18.295978046145844,7.037471011002773,0.037570378180636355,0.4,Tuesday,20,6,2023
2023-06-21,18.29864527893361,7.043948272362234,0.037554016048340015,0.4,Wednesday,21,6,2023
2023-06-22,18.300118546820457,7.037052129497351,0.03754440906192271,0.4,Thursday,22,6,2023
2023-06-23,18.30093159150263,7.041219836398997,0.03753876834307345,0.4,Friday,23,6,2023
2023-06-24,18.3013805114508,7.037377428848931,0.03753545640863811,0.4,Saturday,24,6,2023
2023-06-25,18.301628308784487,7.039947625466966,0.03753351181434133,0.4,Sunday,25,6,2023
2023-06-26,18.30176511215616,7.037760229547274,0.037532370050501224,0.4,Monday,26,6,2023
2023-06-27,18.30184063104099,7.03931111332371,0.03753169966662283,0.4,Tuesday,27,6,2023
2023-06-28,18.301882321626913,7.038049439476441,0.03753130605234935,0.4,Wednesday,28,6,2023
2023-06-29,18.30190533641102,7.038974349068062,0.03753107494268028,0.4,Thursday,29,6,2023
2023-06-30,18.301918041670554,7.038240933897516,0.03753093924719681,0.4,Friday,30,6,2023
2023-07-01,18.301925055509017,7.038788964269066,0.03753085957392175,0.4,Saturday,1,7,2023
2023-07-02,18.3019289274658,7.038360683088973,0.037530812793950916,0.4,Sunday,2,7,2023
2023-07-03,18.301931064954374,7.038684226227747,0.037530785327204136,0.4,Monday,3,7,2023
2023-07-04,18.301932244943284,7.038433470195923,0.03753076920017017,0.4,Tuesday,4,7,2023
2023-07-05,18.301932896349026,7.038624090132852,0.037530759731221164,0.4,Wednesday,5,7,2023
2023-07-06,18.301933255953845,7.038477051503315,0.03753075417155065,0.4,Thursday,6,7,2023
2023-07-07,18.30193345447156,7.038589227139387,0.03753075090720354,0.4,Friday,7,7,2023
2023-07-08,18.301933564062114,7.038502931554361,0.037530748990550034,0.4,Saturday,8,7,2023
2023-07-09,18.301933624560938,7.038568900709671,0.03753074786519156,0.4,Sunday,9,7,2023
2023-07-10,18.30193365795897,7.038518229473315,0.03753074720444005,0.4,Monday,10,7,2023
