,TMAX,TMIN,PRCP,SNWD,Day of Week,Day,Month,Year
2024-06-14,9.705656218732337,2.8976995478974823,0.025215044200041954,0.8,Friday,14,6,2024
2024-06-15,9.184284829586883,2.1636994430808283,0.028590469925036166,0.8,Saturday,15,6,2024
2024-06-16,8.908720227553633,1.7566299223895183,0.02904232314149548,0.8,Sunday,16,6,2024
2024-06-17,8.764699186539595,1.4928890682797302,0.029102810720206748,0.8,Monday,17,6,2024
2024-06-18,8.689497309239316,1.3272943720006976,0.029110907923114854,0.8,Tuesday,18,6,2024
2024-06-19,8.650232959485557,1.2226935597251654,0.02911199185962433,0.8,Wednesday,19,6,2024
2024-06-20,8.629732414331752,1.1566978949869307,0.029112136961379827,0.8,Thursday,20,6,2024
2024-06-21,8.619028757293725,1.1150498915040232,0.02911215638550593,0.8,Friday,21,6,2024
2024-06-22,8.613440209856662,1.0887681645763871,0.029112158985727228,0.8,Saturday,22,6,2024
2024-06-23,8.610522341483756,1.072183094773579,0.02911215933380728,0.8,Sunday,23,6,2024
2024-06-24,8.608998876587913,1.061717112536079,0.029112159380403207,0.8,Monday,24,6,2024
2024-06-25,8.608203451643332,1.0551125687834428,0.029112159386640798,0.8,Tuesday,25,6,2024
2024-06-26,8.607788147789474,1.05094478075419,0.029112159387475797,0.8,Wednesday,26,6,2024
2024-06-27,8.607571311126,1.0483147039592724,0.029112159387587575,0.8,Thursday,27,6,2024
2024-06-28,8.607458097299082,1.0466549976876118,0.02911215938760254,0.8,Friday,28,6,2024
2024-06-29,8.60739898658229,1.0456076423728315,0.02911215938760454,0.8,Saturday,29,6,2024
2024-06-30,8.607368123948858,1.0449467102705512,0.029112159387604808,0.8,Sunday,30,6,2024
2024-07-01,8.607352010083318,1.044529629994477,0.029112159387604843,0.8,Monday,1,7,2024
2024-07-02,8.607343596781089,1.0442664320712918,0.029112159387604846,0.8,Tuesday,2,7,2024
2024-07-03,8.607339204063884,1.0441003413910446,0.029112159387604846,0.8,Wednesday,3,7,2024
2024-07-04,8.607336910557251,1.0439955301002455,0.029112159387604846,0.8,Thursday,4,7,2024
2024-07-05,8.607335713081426,1.0439293890822023,0.029112159387604846,0.8,Friday,5,7,2024
2024-07-06,8.607335087860493,1.0438876508855404,0.029112159387604846,0.8,Saturday,6,7,2024
2024-07-07,8.607334761422827,1.0438613120550815,0.029112159387604846,0.8,Sunday,7,7,2024
2024-07-08,8.607334590984594,1.0438446909730656,0.029112159387604846,0.8,Monday,8,7,2024
2024-07-09,8.607334501996114,1.0438342022625748,0.029112159387604846,0.8,Tuesday,9,7,2024
2024-07-10,8.607334455533833,1.0438275833765331,0.029112159387604846,0.8,Wednesday,10,7,2024
2024-07-11,8.607334431275145,1.0438234065377787,0.029112159387604846,0.8,Thursday,11,7,2024
2024-07-12,8.607334418609302,1.0438207707495433,0.029112159387604846,0.8,Friday,12,7,2024
2024-07-13,8.60733441199627,1.0438191074390741,0.029112159387604846,0.8,Saturday,13,7,2024
