,TMAX,TMIN,PRCP,SNWD,Day of Week,Day,Month,Year
2023-06-11,22.75051118076423,11.186753356447419,0.02884887537061954,0.4,Sunday,11,6,2023
2023-06-12,22.405176833268293,11.379187515286327,0.027036737114929717,0.4,Monday,12,6,2023
2023-06-13,22.20055899052714,11.476368743013971,0.026742251565993923,0.4,Tuesday,13,6,2023
2023-06-14,22.07931862775512,11.533033842931381,0.026694395538309653,0.4,Wednesday,14,6,2023
2023-06-15,22.007481170336106,11.565335380654037,0.026686618588323503,0.4,Thursday,15,6,2023
2023-06-16,21.96491597034463,11.583811004228023,0.02668535477780655,0.4,Friday,16,6,2023
2023-06-17,21.939695196734206,11.59437318945073,0.026685149399473706,0.4,Saturday,17,6,2023
2023-06-18,21.924751359476634,11.600411865679076,0.02668511602401193,0.4,Sunday,18,6,2023
2023-06-19,21.915896822521095,11.603864294233802,0.02668511060025844,0.4,Monday,19,6,2023
2023-06-20,21.91065032369046,11.6058381181602,0.026685109718859346,0.4,Tuesday,20,6,2023
2023-06-21,21.907541663111367,11.606966593322662,0.02668510957562563,0.4,Wednesday,21,6,2023
2023-06-22,21.905699716527945,11.607611765480806,0.026685109552349116,0.4,Thursday,22,6,2023
2023-06-23,21.90460832455064,11.607980623498268,0.026685109548566514,0.4,Friday,23,6,2023
2023-06-24,21.903961651917,11.608191507113514,0.026685109547951814,0.4,Saturday,24,6,2023
2023-06-25,21.90357848482049,11.608312073556611,0.026685109547851922,0.4,Sunday,25,6,2023
2023-06-26,21.90335145028059,11.608381003839247,0.02668510954783569,0.4,Monday,26,6,2023
2023-06-27,21.903216927554656,11.608420412680893,0.026685109547833052,0.4,Tuesday,27,6,2023
2023-06-28,21.90313722001853,11.608442943515534,0.02668510954783262,0.4,Wednesday,28,6,2023
2023-06-29,21.90308999163186,11.608455824851005,0.026685109547832552,0.4,Thursday,29,6,2023
2023-06-30,21.903062007822353,11.608463189371944,0.026685109547832542,0.4,Friday,30,6,2023
2023-07-01,21.903045426828385,11.60846739981804,0.02668510954783254,0.4,Saturday,1,7,2023
2023-07-02,21.903035602241744,11.608469807015531,0.02668510954783254,0.4,Sunday,2,7,2023
2023-07-03,21.903029780968136,11.608471183259196,0.02668510954783254,0.4,Monday,3,7,2023
2023-07-04,21.903026331741447,11.608471970085633,0.02668510954783254,0.4,Tuesday,4,7,2023
2023-07-05,21.9030242880023,11.60847241993028,0.02668510954783254,0.4,Wednesday,5,7,2023
2023-07-06,21.903023077043997,11.608472677115593,0.02668510954783254,0.4,Thursday,6,7,2023
2023-07-07,21.90302235952581,11.608472824153656,0.02668510954783254,0.4,Friday,7,7,2023
2023-07-08,21.90302193438123,11.608472908218301,0.02668510954783254,0.4,Saturday,8,7,2023
2023-07-09,21.903021682474154,11.608472956279769,0.02668510954783254,0.4,Sunday,9,7,2023
2023-07-10,21.903021533213934,11.608472983757483,0.02668510954783254,0.4,Monday,10,7,2023
