,TMAX,TMIN,PRCP,SNWD,Day of Week,Day,Month,Year
2023-06-11,21.679030729890258,13.315483638225322,0.018740989730372654,0.4,Sunday,11,6,2023
2023-06-12,22.030042851645327,13.600512130631024,0.021456262946772726,0.4,Monday,12,6,2023
2023-06-13,22.12839370166357,13.751600760045347,0.021849663121777944,0.4,Tuesday,13,6,2023
2023-06-14,22.159784234644995,13.831690205649984,0.02190666058956843,0.4,Wednesday,14,6,2023
2023-06-15,22.168355263352932,13.87414422301795,0.02191491862182397,0.4,Thursday,15,6,2023
2023-06-16,22.171175606168145,13.896648356703391,0.02191611508018216,0.4,Friday,16,6,2023
2023-06-17,22.171917590407148,13.908577405220589,0.02191628842808861,0.4,Saturday,17,6,2023
2023-06-18,22.172172633895997,13.914900785649914,0.021916313543460544,0.4,Sunday,18,6,2023
2023-06-19,22.172236229305838,13.918252699257813,0.021916317182280997,0.4,Monday,19,6,2023
2023-06-20,22.17225949784771,13.920029490162673,0.02191631770948857,0.4,Tuesday,20,6,2023
2023-06-21,22.172264866154745,13.920971336012208,0.021916317785872615,0.4,Wednesday,21,6,2023
2023-06-22,22.172267014412768,13.921470592059645,0.021916317796939457,0.4,Thursday,22,6,2023
2023-06-23,22.172267456796526,13.921735238977213,0.02191631779854287,0.4,Friday,23,6,2023
2023-06-24,22.172267658249602,13.92187552368951,0.021916317798775176,0.4,Saturday,24,6,2023
2023-06-25,22.172267693275575,13.921949886167207,0.021916317798808833,0.4,Sunday,25,6,2023
2023-06-26,22.172267712544848,13.921989304418835,0.02191631779881371,0.4,Monday,26,6,2023
2023-06-27,22.172267715123795,13.922010199346081,0.02191631779881442,0.4,Tuesday,27,6,2023
2023-06-28,22.17226771701207,13.92202127538235,0.021916317798814523,0.4,Wednesday,28,6,2023
2023-06-29,22.172267717174478,13.922027146595875,0.021916317798814536,0.4,Thursday,29,6,2023
2023-06-30,22.1722677173648,13.922030258823696,0.02191631779881454,0.4,Friday,30,6,2023
2023-07-01,22.172267717370843,13.92203190856135,0.02191631779881454,0.4,Saturday,1,7,2023
2023-07-02,22.172267717390632,13.922032783058487,0.02191631779881454,0.4,Sunday,2,7,2023
2023-07-03,22.17226771739011,13.922033246614157,0.02191631779881454,0.4,Monday,3,7,2023
2023-07-04,22.172267717392234,13.92203349233693,0.02191631779881454,0.4,Tuesday,4,7,2023
2023-07-05,22.172267717392053,13.92203362259028,0.02191631779881454,0.4,Wednesday,5,7,2023
2023-07-06,22.172267717392288,13.92203369163531,0.02191631779881454,0.4,Thursday,6,7,2023
2023-07-07,22.172267717392256,13.922033728234872,0.02191631779881454,0.4,Friday,7,7,2023
2023-07-08,22.17226771739228,13.92203374763566,0.02191631779881454,0.4,Saturday,8,7,2023
2023-07-09,22.172267717392273,13.922033757919682,0.02191631779881454,0.4,Sunday,9,7,2023
2023-07-10,22.172267717392273,13.92203376337106,0.02191631779881454,0.4,Monday,10,7,2023
