,TMAX,TMIN,PRCP,SNWD,Day of Week,Day,Month,Year
2023-06-11,14.069403862955502,5.193974136653089,0.04185359110310838,0.8,Sunday,11,6,2023
2023-06-12,14.159790533410835,5.293705283591375,0.04880860079828422,0.8,Monday,12,6,2023
2023-06-13,14.297252312067705,5.344981715806741,0.04996434773863212,0.8,Tuesday,13,6,2023
2023-06-14,14.363663868558158,5.371345320171624,0.050156403688036484,0.8,Wednesday,14,6,2023
2023-06-15,14.408750489368158,5.384900078275482,0.05018831853584089,0.8,Thursday,15,6,2023
2023-06-16,14.435629366986243,5.39186921135422,0.05019362197743454,0.8,Friday,16,6,2023
2023-06-17,14.452415153454929,5.395452367578552,0.05019450327547204,0.8,Saturday,17,6,2023
2023-06-18,14.462720735302842,5.397294635244118,0.050194649724945875,0.8,Sunday,18,6,2023
2023-06-19,14.469087124856994,5.398241830939503,0.05019467406114938,0.8,Monday,19,6,2023
2023-06-20,14.473011158619832,5.398728828405793,0.050194678105211714,0.8,Tuesday,20,6,2023
2023-06-21,14.475431795846747,5.398979216507564,0.05019467877723273,0.8,Wednesday,21,6,2023
2023-06-22,14.476924577884505,5.39910795270405,0.05019467888890565,0.8,Thursday,22,6,2023
2023-06-23,14.477845261827728,5.399174141984485,0.05019467890746287,0.8,Friday,23,6,2023
2023-06-24,14.478413077578914,5.399208172979372,0.05019467891054661,0.8,Saturday,24,6,2023
2023-06-25,14.478763273116325,5.399225669900404,0.05019467891105905,0.8,Sunday,25,6,2023
2023-06-26,14.47897925209419,5.399234665883235,0.0501946789111442,0.8,Monday,26,6,2023
2023-06-27,14.479112454844767,5.399239291137409,0.05019467891115835,0.8,Tuesday,27,6,2023
2023-06-28,14.479194606174815,5.399241669196214,0.0501946789111607,0.8,Wednesday,28,6,2023
2023-06-29,14.479245272116227,5.3992428918671145,0.05019467891116109,0.8,Thursday,29,6,2023
2023-06-30,14.47927651978292,5.399243520499226,0.05019467891116115,0.8,Friday,30,6,2023
2023-07-01,14.479295791441151,5.399243843708301,0.05019467891116117,0.8,Saturday,1,7,2023
2023-07-02,14.479307677026405,5.399244009885156,0.05019467891116117,0.8,Sunday,2,7,2023
2023-07-03,14.479315007331653,5.399244095324423,0.05019467891116117,0.8,Monday,3,7,2023
2023-07-04,14.479319528217566,5.399244139252733,0.05019467891116117,0.8,Tuesday,4,7,2023
2023-07-05,14.479322316424705,5.3992441618383245,0.05019467891116117,0.8,Wednesday,5,7,2023
2023-07-06,14.479324036021088,5.399244173450629,0.05019467891116117,0.8,Thursday,6,7,2023
2023-07-07,14.479325096563429,5.399244179421056,0.05019467891116117,0.8,Friday,7,7,2023
2023-07-08,14.47932575064136,5.3992441824907305,0.05019467891116117,0.8,Saturday,8,7,2023
2023-07-09,14.479326154036803,5.399244184068992,0.05019467891116117,0.8,Sunday,9,7,2023
2023-07-10,14.47932640282655,5.399244184880452,0.05019467891116117,0.8,Monday,10,7,2023
