,TMAX,TMIN,PRCP,SNWD,Day of Week,Day,Month,Year
2024-06-14,16.534374719423983,-0.26319520176457245,0.0328287788662164,0.8,Friday,14,6,2024
2024-06-15,16.472992664930516,-0.4154767596098334,0.04416601852144366,0.8,Saturday,15,6,2024
2024-06-16,16.44451204541913,-0.5035850256584022,0.0480812723761135,0.8,Sunday,16,6,2024
2024-06-17,16.43129734130983,-0.5545634018710603,0.04943338393171948,0.8,Monday,17,6,2024
2024-06-18,16.425165859351488,-0.5840588732703821,0.04990032827981651,0.8,Tuesday,18,6,2024
2024-06-19,16.422320917028564,-0.6011245959885593,0.05006158496260704,0.8,Wednesday,19,6,2024
2024-06-20,16.4210008940919,-0.6109986165780532,0.050117274078131366,0.8,Thursday,20,6,2024
2024-06-21,16.420388417508704,-0.6167116053691993,0.050136506010316835,0.8,Friday,21,6,2024
2024-06-22,16.420104234897526,-0.6200170715298113,0.0501431476531604,0.8,Saturday,22,6,2024
2024-06-23,16.41997237719274,-0.6219295742387053,0.05014544130827711,0.8,Sunday,23,6,2024
2024-06-24,16.41991119662212,-0.6230361251558235,0.050146233409556616,0.8,Monday,24,6,2024
2024-06-25,16.419882809488982,-0.623676362122014,0.05014650695741149,0.8,Tuesday,25,6,2024
2024-06-26,16.41986963816155,-0.6240467954807846,0.05014660142567059,0.8,Wednesday,26,6,2024
2024-06-27,16.419863526805912,-0.6242611237381881,0.050146634049768414,0.8,Thursday,27,6,2024
2024-06-28,16.419860691201983,-0.6243851314735456,0.05014664531632259,0.8,Friday,28,6,2024
2024-06-29,16.41985937551196,-0.6244568808481491,0.0501466492071656,0.8,Saturday,29,6,2024
2024-06-30,16.41985876504581,-0.6244983941677913,0.050146650550847,0.8,Sunday,30,6,2024
2024-07-01,16.419858481796016,-0.6245224132720296,0.05014665101488004,0.8,Monday,1,7,2024
2024-07-02,16.419858350371133,-0.6245363104349977,0.05014665117513132,0.8,Tuesday,2,7,2024
2024-07-03,16.41985828939138,-0.62454435116527,0.050146651230473224,0.8,Wednesday,3,7,2024
2024-07-04,16.419858261097428,-0.6245490034344748,0.05014665124958525,0.8,Thursday,4,7,2024
2024-07-05,16.419858247969334,-0.6245516951811226,0.05014665125618548,0.8,Friday,5,7,2024
2024-07-06,16.419858241878035,-0.6245532525931511,0.05014665125846484,0.8,Saturday,6,7,2024
2024-07-07,16.41985823905174,-0.624554153692899,0.050146651259252,0.8,Sunday,7,7,2024
2024-07-08,16.41985823774037,-0.6245546750583052,0.05014665125952385,0.8,Monday,8,7,2024
2024-07-09,16.419858237131912,-0.6245549767140189,0.050146651259617724,0.8,Tuesday,9,7,2024
2024-07-10,16.419858236849592,-0.6245551512483635,0.05014665125965014,0.8,Wednesday,10,7,2024
2024-07-11,16.4198582367186,-0.6245552522318221,0.05014665125966134,0.8,Thursday,11,7,2024
2024-07-12,16.41985823665782,-0.6245553106596289,0.050146651259665206,0.8,Friday,12,7,2024
2024-07-13,16.419858236629622,-0.6245553444652509,0.05014665125966654,0.8,Saturday,13,7,2024
