,TMAX,TMIN,PRCP,SNWD,Day of Week,Day,Month,Year
2023-06-11,14.52067788480666,6.206499141836205,0.07713405826861504,0.4,Sunday,11,6,2023
2023-06-12,14.508328136805472,6.656751211058701,0.10282870253410976,0.4,Monday,12,6,2023
2023-06-13,14.535438205434069,6.9176881288166605,0.11138801807836857,0.4,Tuesday,13,6,2023
2023-06-14,14.526906229855014,7.0661303636906565,0.11423926917292346,0.4,Wednesday,14,6,2023
2023-06-15,14.537229740642902,7.150393787655294,0.1151890685771122,0.4,Thursday,15,6,2023
2023-06-16,14.532721313620028,7.1982138027640366,0.11550546263652005,0.4,Friday,16,6,2023
2023-06-17,14.536860170074753,7.225351137555178,0.11561085878689359,0.4,Saturday,17,6,2023
2023-06-18,14.53469487717375,7.240751222788282,0.11564596800649889,0.4,Sunday,18,6,2023
2023-06-19,14.536413204195949,7.249490567562936,0.11565766347447304,0.4,Monday,19,6,2023
2023-06-20,14.535417695789192,7.254450029937307,0.1156615594303693,0.4,Tuesday,20,6,2023
2023-06-21,14.536147011582724,7.257264459111547,0.11566285723840736,0.4,Wednesday,21,6,2023
2023-06-22,14.535699327721387,7.25886161036976,0.1156632895599604,0.4,Thursday,22,6,2023
2023-06-23,14.53601302182765,7.259767972542509,0.11566343357349687,0.4,Friday,23,6,2023
2023-06-24,14.535814051596311,7.260282321063948,0.11566348154681336,0.4,Saturday,24,6,2023
2023-06-25,14.535950035284706,7.260574207033443,0.11566349752752705,0.4,Sunday,25,6,2023
2023-06-26,14.535862170724746,7.260739848452902,0.11566350285096993,0.4,Monday,26,6,2023
2023-06-27,14.535921384387475,7.260833847763276,0.11566350462429775,0.4,Tuesday,27,6,2023
2023-06-28,14.535882721591097,7.260887191126184,0.11566350521502289,0.4,Wednesday,28,6,2023
2023-06-29,14.535908572350118,7.260917462777702,0.11566350541180331,0.4,Thursday,29,6,2023
2023-06-30,14.535891593446943,7.26093464153876,0.11566350547735416,0.4,Friday,30,6,2023
2023-07-01,14.535902895533305,7.260944390258,0.11566350549919024,0.4,Saturday,1,7,2023
2023-07-02,14.5358954474927,7.260949922526972,0.1156635055064642,0.4,Sunday,2,7,2023
2023-07-03,14.535900392908827,7.260953062016297,0.11566350550888728,0.4,Monday,3,7,2023
2023-07-04,14.535897127764189,7.260954843634882,0.11566350550969445,0.4,Tuesday,4,7,2023
2023-07-05,14.535899292724196,7.260955854679818,0.11566350550996334,0.4,Wednesday,5,7,2023
2023-07-06,14.535897861822768,7.2609564284344215,0.1156635055100529,0.4,Thursday,6,7,2023
2023-07-07,14.53589880982949,7.260956754032553,0.11566350551008274,0.4,Friday,7,7,2023
2023-07-08,14.535898182882555,7.260956938805176,0.11566350551009268,0.4,Saturday,8,7,2023
2023-07-09,14.535898598063637,7.260957043661193,0.11566350551009599,0.4,Sunday,9,7,2023
2023-07-10,14.535898323398682,7.260957103165595,0.11566350551009709,0.4,Monday,10,7,2023
