,TMAX,TMIN,PRCP,SNWD,Day of Week,Day,Month,Year
2023-06-11,10.84040708913492,1.643649910999648,0.048719212355810546,0.4000340439259678,Sunday,11,6,2023
2023-06-12,11.715694770772842,2.148112310705754,0.04570109463621577,0.4000678663914844,Monday,12,6,2023
2023-06-13,12.164169590244821,2.4088841432070476,0.0452730543436461,0.40010087009405393,Tuesday,13,6,2023
2023-06-14,12.393448817247977,2.614042829477528,0.04521234813232982,0.4001326149370236,Wednesday,14,6,2023
2023-06-15,12.510662876705846,2.7336634511096727,0.04520373855945468,0.40016278924851706,Thursday,15,6,2023
2023-06-16,12.570586016894781,2.8197154330987377,0.04520251751891393,0.40019118535028847,Friday,16,6,2023
2023-06-17,12.601220419734524,2.8730336150768525,0.04520234434655988,0.40021767891552096,Saturday,17,6,2023
2023-06-18,12.616881592268937,2.9097337181386687,0.0452023197866348,0.4002422116146751,Sunday,18,6,2023
2023-06-19,12.624888026291352,2.9331798180376527,0.04520231630345803,0.4002647766039697,Monday,19,6,2023
2023-06-20,12.628981141644905,2.94896821017431,0.045202315809461394,0.40028540646196903,Tuesday,20,6,2023
2023-06-21,12.631073657895037,2.9592108707197045,0.04520231573940102,0.4003041632261673,Wednesday,21,6,2023
2023-06-22,12.632143411341701,2.9660331512804876,0.04520231572946481,0.4003211302235717,Thursday,22,6,2023
2023-06-23,12.632690299537472,2.9704932890214093,0.045202315728055616,0.40033640542729976,Friday,23,6,2023
2023-06-24,12.63296988423954,2.9734478435591267,0.04520231572785576,0.4003500961053655,Saturday,24,6,2023
2023-06-25,12.633112815840981,2.9753868762155653,0.045202315727827416,0.4003623145583884,Sunday,25,6,2023
2023-06-26,12.633185886515232,2.9766678568131866,0.0452023157278234,0.4003731747701856,Monday,26,6,2023
2023-06-27,12.633223242309064,2.977510170250438,0.04520231572782283,0.4003827898193675,Tuesday,27,6,2023
2023-06-28,12.633242339646639,2.9780658670502627,0.045202315727822746,0.40039126992141094,Wednesday,28,6,2023
2023-06-29,12.633252102745342,2.9784316205009196,0.04520231572782273,0.40039872098948914,Thursday,29,6,2023
2023-06-30,12.63325709391733,2.9786727530639703,0.04520231572782273,0.4004052436188334,Friday,30,6,2023
2023-07-01,12.633259645545513,2.978831540529221,0.04520231572782273,0.4004109324138202,Saturday,1,7,2023
2023-07-02,12.633260950009957,2.978936189560394,0.04520231572782273,0.4004158755895336,Sunday,2,7,2023
2023-07-03,12.633261616889047,2.9790051183316635,0.04520231572782273,0.40042015479044485,Monday,3,7,2023
2023-07-04,12.633261957816488,2.9790505381381314,0.04520231572782273,0.4004238450782662,Tuesday,4,7,2023
2023-07-05,12.633262132108232,2.979080458243541,0.04520231572782273,0.4004270150491421,Wednesday,5,7,2023
2023-07-06,12.633262221211096,2.9791001720603325,0.04520231572782273,0.40042972704729113,Thursday,6,7,2023
2023-07-07,12.633262266763,2.9791131592393802,0.04520231572782273,0.40043203744815004,Friday,7,7,2023
2023-07-08,12.633262290050418,2.9791217158908463,0.04520231572782273,0.400433996989117,Saturday,8,7,2023
2023-07-09,12.633262301955604,2.9791273530603966,0.04520231572782273,0.40043565113026713,Sunday,9,7,2023
2023-07-10,12.633262308041871,2.979131067051127,0.04520231572782273,0.4004370404310106,Monday,10,7,2023
